instance,topic
Q1962284,Q81096
Q1962284,Q205375
Q1962284,Q2526255
Q12153204,Q11424
Q56283790,Q11424
Q708647,Q28389
Q708647,Q36180
Q708647,Q214917
Q708647,Q6625963
Q708647,Q10297252
Q2900444,Q28389
Q2900444,Q33999
Q2900444,Q2526255
Q2900444,Q10800557
Q1253224,Q2259451
Q1253224,Q10800557
Q72816419,Q33999
Q1399133,Q36180
Q1399133,Q1209498
Q1399133,Q6625963
Q1399133,Q18844224
Q58801,Q33999
Q58801,Q2259451
Q58801,Q10800557
Q86028,Q28389
Q86028,Q33999
Q86028,Q2259451
Q86028,Q3282637
Q86028,Q10800557
Q684471,Q11424
