instance,topic
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
Q130798,Q177220
Q130798,Q753110
Q130798,Q856887
Q130798,Q1294626
Q130798,Q2252262
Q130798,Q55960555
