instance,topic
Q976396,Q13393265
Q976396,Q13393265
Q309783,Q3665646
Q2481543,Q3665646
Q717573,Q3665646
Q4685441,Q36180
Q4685441,Q13219447
Q4685441,Q15077007
Q22005666,Q3665646
Q14327036,Q3665646
Q15074074,Q1969448
Q15074074,Q4866600
Q15074074,Q1969448
Q15074074,Q4866600
Q1277708,Q33999
Q1277708,Q3665646
Q4685441,Q36180
Q4685441,Q13219447
Q4685441,Q15077007
Q60478,Q3665646
Q1354036,Q3665646
Q181162,Q82594
Q181162,Q131524
Q976396,Q13393265
Q976396,Q13393265
Q309783,Q3665646
Q493115,Q3665646
Q959112,Q10871364
Q608639,Q3665646
Q608639,Q5137571
Q46040,Q3665646
Q311195,Q3665646
Q311195,Q5137571
Q352093,Q41583
Q352093,Q3665646
Q352093,Q5137571
