entity,type,id
Manu Payet,Person,Q3286702
Académie des arts et techniques du cinéma,Organization,Q2822371
Alain Terzian,Person,Q551733
120 Battements par minute,,Q29378617
Robin Campillo,Person,Q3437047
Au revoir là-haut,,Q23685899
Albert Dupontel,Person,Q124389
Pierre Lemaitre,Person,Q3385917
César,Organization,Q174389
Dany Boon,Person,Q468190
Bienvenue chez les ch'tis,,Q1144330
Raid dingue,,Q28493840
Alice Pol,Person,Q6531360
Florent Peyre,Person,Q3074109
Les Tuche 3,,Q30738504
l'Élysée,Location,Q188190
Académie,Organization,Q2822371
